symptom1,symptom2,symptom3,symptom4,OTC Medicine
Nausea,Insomnia,Sinus pressure,Hay fever,Electrolyte solution (Pedialyte)
Insomnia,Sinus pressure,Dry skin,Cough,Aloe vera gel
Runny nose,Toothache,Diarrhea,Headache,Cold-EEZE
Hangover,Cough,Headache,Muscle pain,Pseudoephedrine
Toothache,Common cold,Dry skin,Fever,Orajel
Cough,Toothache,Hangover,Runny nose,Guaifenesin
Allergic rash,Cough,Toothache,Hay fever,Dextromethorphan
Common cold,Diarrhea,Cough,Insomnia,Melatonin
Acid reflux,Sinus pressure,Common cold,Toothache,Cold-EEZE
Menstrual cramps,Dry cough,Heartburn,Nausea,Heating pad
Hangover,Common cold,Dry cough,Fever,Ibuprofen
Fever,Hay fever,Allergic rash,Toothache,Paracetamol
Insomnia,Hay fever,Fever,Muscle pain,Paracetamol
Hangover,Dizziness,Heartburn,Insomnia,Lavender oil
Diarrhea,Muscle pain,Common cold,Hay fever,Ibuprofen
Diarrhea,Runny nose,Sinus pressure,Menstrual cramps,Saline nasal spray
Cough,Acid reflux,Dry skin,Hangover,Antacid (Tums)
Dry cough,Sinus pressure,Heartburn,Nausea,Pseudoephedrine
Nausea,Acid reflux,Hay fever,Allergic rash,Electrolyte solution (Pedialyte)
Sinus pressure,Runny nose,Dizziness,Common cold,Ibuprofen
Diarrhea,Sinus pressure,Toothache,Allergic rash,Saline nasal spray
Dizziness,Muscle pain,Nausea,Insomnia,Cold-EEZE
Acid reflux,Heartburn,Fever,Nausea,Loperamide
Hangover,Heartburn,Runny nose,Dry skin,Antacid (Rolaids)
Sinus pressure,Insomnia,Heartburn,Allergic rash,Ibuprofen
Headache,Insomnia,Nausea,Acid reflux,Lavender oil
Sinus pressure,Menstrual cramps,Cough,Runny nose,Heating pad
Fever,Dry cough,Heartburn,Sinus pressure,Antacid (Tums)
Allergic rash,Insomnia,Menstrual cramps,Dry skin,Ibuprofen
Nausea,Heartburn,Toothache,Cough,Guaifenesin
Hangover,Insomnia,Dizziness,Acid reflux,Aspirin
Heartburn,Common cold,Hangover,Menstrual cramps,Cold-EEZE
Heartburn,Muscle pain,Hangover,Sinus pressure,Pseudoephedrine
Heartburn,Runny nose,Acid reflux,Insomnia,Loratadine
Fever,Menstrual cramps,Hay fever,Headache,Electrolyte solution (Pedialyte)
Nausea,Hangover,Cough,Dizziness,Aspirin
Acid reflux,Nausea,Sinus pressure,Allergic rash,Antihistamine (Claritin)
Sinus pressure,Dry skin,Hangover,Toothache,Paracetamol
Dry cough,Allergic rash,Diarrhea,Runny nose,Antihistamine (Claritin)
Insomnia,Hay fever,Allergic rash,Headache,Lavender oil
Hangover,Cough,Allergic rash,Dry skin,Petroleum jelly
Hay fever,Insomnia,Dizziness,Cough,Ginger supplements
Dry cough,Nausea,Common cold,Fever,Loperamide
Headache,Dry skin,Allergic rash,Menstrual cramps,Antihistamine (Claritin)
Muscle pain,Diarrhea,Sinus pressure,Menstrual cramps,Saline nasal spray
Muscle pain,Dry cough,Menstrual cramps,Common cold,Aspirin
Dry cough,Common cold,Acid reflux,Dry skin,Cold-EEZE
Runny nose,Common cold,Toothache,Allergic rash,Calamine lotion
Allergic rash,Insomnia,Toothache,Nausea,Ibuprofen
Menstrual cramps,Insomnia,Allergic rash,Sinus pressure,Paracetamol
Muscle pain,Heartburn,Dizziness,Acid reflux,Bismuth subsalicylate
Muscle pain,Heartburn,Menstrual cramps,Insomnia,Antacid (Rolaids)
Heartburn,Dizziness,Menstrual cramps,Runny nose,Proton Pump Inhibitor (Omeprazole)
Allergic rash,Common cold,Headache,Acid reflux,Bismuth subsalicylate
Insomnia,Hay fever,Menstrual cramps,Diarrhea,Valerian root
Common cold,Dry skin,Menstrual cramps,Heartburn,Moisturizing lotion
Heartburn,Muscle pain,Hay fever,Common cold,Ibuprofen
Sinus pressure,Hay fever,Menstrual cramps,Heartburn,Nasal spray (Flonase)
Dry skin,Headache,Fever,Allergic rash,Petroleum jelly
Headache,Muscle pain,Allergic rash,Toothache,Aspirin
Hangover,Allergic rash,Nausea,Diarrhea,Loperamide
Hay fever,Nausea,Allergic rash,Muscle pain,Hydrocortisone cream
Dry skin,Fever,Allergic rash,Dry cough,Aloe vera gel
Dry skin,Sinus pressure,Nausea,Allergic rash,Calamine lotion
Menstrual cramps,Dry cough,Toothache,Allergic rash,Dextromethorphan
Toothache,Dry cough,Sinus pressure,Headache,Pseudoephedrine
Cough,Fever,Dry skin,Dizziness,Guaifenesin
Hangover,Muscle pain,Insomnia,Allergic rash,Hydrocortisone cream
Allergic rash,Menstrual cramps,Runny nose,Nausea,Antihistamine (Benadryl)
Heartburn,Hay fever,Muscle pain,Sinus pressure,Antacid (Tums)
Runny nose,Allergic rash,Diarrhea,Hangover,Cold-EEZE
Menstrual cramps,Allergic rash,Dry cough,Hangover,Ginger supplements
Acid reflux,Muscle pain,Diarrhea,Dry skin,Hydrocortisone cream
Hangover,Hay fever,Sinus pressure,Dry skin,Hydrocortisone cream
Fever,Allergic rash,Insomnia,Hay fever,Antihistamine (Benadryl)
Sinus pressure,Acid reflux,Headache,Dry cough,Proton Pump Inhibitor (Omeprazole)
Headache,Runny nose,Dry skin,Hangover,Aloe vera gel
Menstrual cramps,Headache,Acid reflux,Diarrhea,Electrolyte solution (Pedialyte)
Hangover,Allergic rash,Runny nose,Toothache,Aspirin
Common cold,Insomnia,Dizziness,Allergic rash,Paracetamol
Allergic rash,Diarrhea,Sinus pressure,Nausea,Electrolyte solution (Pedialyte)
Menstrual cramps,Runny nose,Diarrhea,Hangover,Bismuth subsalicylate
Diarrhea,Heartburn,Sinus pressure,Headache,Aspirin
Dry cough,Headache,Cough,Dizziness,Ibuprofen
Headache,Sinus pressure,Heartburn,Common cold,Pseudoephedrine
Nausea,Runny nose,Toothache,Allergic rash,Orajel
Dry skin,Headache,Insomnia,Sinus pressure,Ibuprofen
Cough,Hangover,Common cold,Diarrhea,Dextromethorphan
Menstrual cramps,Fever,Common cold,Cough,Paracetamol
Toothache,Acid reflux,Headache,Hay fever,Orajel
Insomnia,Allergic rash,Hangover,Nausea,Aspirin
Hay fever,Dry cough,Runny nose,Diarrhea,Pseudoephedrine
Fever,Acid reflux,Dry cough,Sinus pressure,Dextromethorphan
Sinus pressure,Hay fever,Heartburn,Common cold,Antacid (Rolaids)
Dizziness,Cough,Fever,Hangover,Dextromethorphan
Insomnia,Heartburn,Hangover,Hay fever,Paracetamol
Dry cough,Dizziness,Hangover,Heartburn,Electrolyte solution (Pedialyte)
Dizziness,Dry cough,Nausea,Insomnia,Loperamide
Diarrhea,Sinus pressure,Dizziness,Nausea,Saline nasal spray
Headache,Acid reflux,Insomnia,Fever,Ibuprofen
Diarrhea,Dry skin,Nausea,Common cold,Ginger supplements
Acid reflux,Runny nose,Hangover,Common cold,Ibuprofen
Headache,Dizziness,Dry cough,Cough,Ibuprofen
Dry skin,Runny nose,Insomnia,Muscle pain,Petroleum jelly
Heartburn,Fever,Dizziness,Headache,Cold-EEZE
Sinus pressure,Runny nose,Hangover,Nausea,Aspirin
Acid reflux,Muscle pain,Diarrhea,Runny nose,Antacid (Tums)
Toothache,Nausea,Fever,Hay fever,Loratadine
Cough,Dry cough,Heartburn,Toothache,Antacid (Rolaids)
Dry cough,Hay fever,Toothache,Diarrhea,Guaifenesin
Fever,Cough,Hay fever,Sinus pressure,Guaifenesin
Toothache,Insomnia,Common cold,Cough,Guaifenesin
Runny nose,Headache,Menstrual cramps,Nausea,Ginger supplements
Hangover,Insomnia,Diarrhea,Toothache,Aspirin
Diarrhea,Dry cough,Acid reflux,Headache,Cold-EEZE
Allergic rash,Dry skin,Dry cough,Fever,Calamine lotion
Diarrhea,Allergic rash,Heartburn,Runny nose,Probiotic
Heartburn,Diarrhea,Dizziness,Dry cough,Loperamide
Dizziness,Runny nose,Menstrual cramps,Heartburn,Bismuth subsalicylate
Fever,Allergic rash,Diarrhea,Dry cough,Probiotic
Heartburn,Diarrhea,Runny nose,Hangover,Paracetamol
Muscle pain,Menstrual cramps,Heartburn,Nausea,Bismuth subsalicylate
Diarrhea,Dizziness,Toothache,Cough,Bismuth subsalicylate
Headache,Nausea,Menstrual cramps,Cough,Loperamide
Runny nose,Headache,Insomnia,Dry skin,Aloe vera gel
Diarrhea,Common cold,Sinus pressure,Acid reflux,Antacid (Tums)
Toothache,Hangover,Acid reflux,Hay fever,Antihistamine (Claritin)
Insomnia,Fever,Muscle pain,Menstrual cramps,Electrolyte solution (Pedialyte)
Toothache,Cough,Fever,Runny nose,Guaifenesin
Dry cough,Sinus pressure,Insomnia,Cough,Nasal spray (Flonase)
Cough,Insomnia,Acid reflux,Hay fever,Proton Pump Inhibitor (Omeprazole)
Diarrhea,Insomnia,Headache,Heartburn,Valerian root
Allergic rash,Dizziness,Nausea,Heartburn,Calamine lotion
Muscle pain,Hangover,Common cold,Dizziness,Electrolyte solution (Pedialyte)
Acid reflux,Dry cough,Sinus pressure,Allergic rash,Calamine lotion
Headache,Dizziness,Menstrual cramps,Toothache,Ibuprofen
Menstrual cramps,Nausea,Headache,Diarrhea,Aspirin
Allergic rash,Sinus pressure,Dizziness,Acid reflux,Antihistamine (Claritin)
Hay fever,Toothache,Muscle pain,Runny nose,Ibuprofen
Hangover,Acid reflux,Cough,Hay fever,Cold-EEZE
Toothache,Diarrhea,Menstrual cramps,Acid reflux,Paracetamol
Sinus pressure,Allergic rash,Acid reflux,Runny nose,Antihistamine (Claritin)
Cough,Nausea,Hangover,Menstrual cramps,Electrolyte solution (Pedialyte)
Headache,Fever,Muscle pain,Hangover,Paracetamol
Runny nose,Fever,Allergic rash,Toothache,Aspirin
Runny nose,Dry cough,Cough,Toothache,Honey
Heartburn,Cough,Headache,Sinus pressure,Proton Pump Inhibitor (Omeprazole)
Acid reflux,Allergic rash,Headache,Cough,Cold-EEZE
Hangover,Dry cough,Common cold,Menstrual cramps,Honey
Common cold,Fever,Cough,Nausea,Dextromethorphan
Toothache,Hangover,Common cold,Cough,Ibuprofen
Hay fever,Fever,Heartburn,Acid reflux,Loratadine
Runny nose,Acid reflux,Dizziness,Hay fever,Antihistamine (Benadryl)
Dry skin,Sinus pressure,Hangover,Heartburn,Paracetamol
Fever,Allergic rash,Runny nose,Sinus pressure,Paracetamol
Allergic rash,Hangover,Toothache,Fever,Ginger supplements
Sinus pressure,Common cold,Dry cough,Muscle pain,Nasal spray (Flonase)
Heartburn,Insomnia,Hay fever,Nausea,Dimenhydrinate
Fever,Common cold,Dry cough,Hay fever,Electrolyte solution (Pedialyte)
Muscle pain,Dry skin,Common cold,Hay fever,Cold-EEZE
Dry skin,Diarrhea,Runny nose,Toothache,Loperamide
Fever,Headache,Sinus pressure,Heartburn,Aspirin
Toothache,Hay fever,Diarrhea,Menstrual cramps,Probiotic
Allergic rash,Muscle pain,Headache,Dry cough,Guaifenesin
Hay fever,Common cold,Nausea,Toothache,Nasal spray (Flonase)
Diarrhea,Hay fever,Menstrual cramps,Dizziness,Loratadine
Menstrual cramps,Allergic rash,Insomnia,Diarrhea,Lavender oil
Headache,Nausea,Insomnia,Cough,Paracetamol
Dry skin,Hangover,Menstrual cramps,Dizziness,Paracetamol
Headache,Cough,Heartburn,Dry cough,Dextromethorphan
Runny nose,Dry skin,Hay fever,Muscle pain,Aspirin
Dry cough,Fever,Acid reflux,Muscle pain,Dextromethorphan
Dry skin,Dry cough,Headache,Sinus pressure,Paracetamol
Dizziness,Allergic rash,Cough,Dry cough,Antihistamine (Benadryl)
Heartburn,Insomnia,Diarrhea,Hay fever,Probiotic
Insomnia,Fever,Sinus pressure,Acid reflux,Valerian root
Menstrual cramps,Muscle pain,Allergic rash,Common cold,Hydrocortisone cream
Sinus pressure,Diarrhea,Dry cough,Fever,Pseudoephedrine
Nausea,Headache,Fever,Dizziness,Paracetamol
Dizziness,Runny nose,Heartburn,Dry cough,Guaifenesin
Sinus pressure,Dizziness,Diarrhea,Heartburn,Ginger supplements
Hangover,Muscle pain,Dizziness,Nausea,Dimenhydrinate
Fever,Diarrhea,Runny nose,Dry skin,Loperamide
Dry skin,Muscle pain,Cough,Fever,Cold-EEZE
Toothache,Dizziness,Heartburn,Headache,Ginkgo biloba
Cough,Sinus pressure,Allergic rash,Toothache,Pseudoephedrine
Toothache,Hay fever,Heartburn,Runny nose,Antacid (Tums)
Hay fever,Hangover,Muscle pain,Allergic rash,Cold-EEZE
Menstrual cramps,Heartburn,Diarrhea,Allergic rash,Heating pad
Cough,Headache,Hay fever,Fever,Loratadine
Dizziness,Nausea,Sinus pressure,Fever,Ginkgo biloba
Menstrual cramps,Allergic rash,Dry skin,Runny nose,Ibuprofen
Toothache,Sinus pressure,Acid reflux,Headache,Proton Pump Inhibitor (Omeprazole)
Headache,Nausea,Dry cough,Cough,Loperamide
Dry skin,Headache,Sinus pressure,Acid reflux,Paracetamol
Menstrual cramps,Muscle pain,Runny nose,Dry skin,Pseudoephedrine
Hay fever,Dry skin,Cough,Menstrual cramps,Antihistamine (Benadryl)
Hay fever,Fever,Menstrual cramps,Allergic rash,Antihistamine (Claritin)
Dizziness,Dry skin,Allergic rash,Toothache,Orajel
Muscle pain,Nausea,Toothache,Runny nose,Orajel
Muscle pain,Dry cough,Cough,Hangover,Cold-EEZE
Dizziness,Hangover,Muscle pain,Menstrual cramps,Dimenhydrinate
Dizziness,Hangover,Common cold,Cough,Aspirin
Hay fever,Menstrual cramps,Insomnia,Muscle pain,Cold-EEZE
Hangover,Toothache,Sinus pressure,Diarrhea,Nasal spray (Flonase)
Common cold,Nausea,Hay fever,Runny nose,Dimenhydrinate
Dizziness,Heartburn,Runny nose,Allergic rash,Antihistamine (Benadryl)
Headache,Heartburn,Dizziness,Sinus pressure,Saline nasal spray
Cough,Dry skin,Hay fever,Nausea,Loperamide
Toothache,Dizziness,Allergic rash,Menstrual cramps,Electrolyte solution (Pedialyte)
Cough,Common cold,Insomnia,Nausea,Paracetamol
Dizziness,Nausea,Dry cough,Muscle pain,Electrolyte solution (Pedialyte)
Heartburn,Runny nose,Toothache,Common cold,Loratadine
Toothache,Muscle pain,Dry cough,Heartburn,Proton Pump Inhibitor (Omeprazole)
Menstrual cramps,Fever,Hangover,Insomnia,Lavender oil
Fever,Diarrhea,Toothache,Heartburn,Probiotic
Heartburn,Hay fever,Allergic rash,Nausea,Antihistamine (Claritin)
Menstrual cramps,Allergic rash,Heartburn,Fever,Paracetamol
Hangover,Runny nose,Dizziness,Nausea,Nasal spray (Flonase)
Toothache,Nausea,Diarrhea,Menstrual cramps,Loperamide
Headache,Hay fever,Menstrual cramps,Cough,Paracetamol
Muscle pain,Heartburn,Hangover,Acid reflux,Paracetamol
Hay fever,Toothache,Fever,Headache,Orajel
Toothache,Fever,Dry cough,Headache,Dextromethorphan
Insomnia,Hay fever,Muscle pain,Common cold,Antihistamine (Claritin)
Hay fever,Diarrhea,Muscle pain,Common cold,Loperamide
Cough,Dizziness,Menstrual cramps,Muscle pain,Guaifenesin
Fever,Common cold,Hay fever,Dizziness,Ginger supplements
Insomnia,Allergic rash,Acid reflux,Toothache,Bismuth subsalicylate
Sinus pressure,Nausea,Allergic rash,Toothache,Hydrocortisone cream
Headache,Insomnia,Muscle pain,Acid reflux,Valerian root
Common cold,Runny nose,Heartburn,Dry cough,Antacid (Rolaids)
Nausea,Heartburn,Menstrual cramps,Diarrhea,Ginger supplements
Dizziness,Muscle pain,Hay fever,Acid reflux,Bismuth subsalicylate
Sinus pressure,Allergic rash,Dizziness,Dry skin,Petroleum jelly
Allergic rash,Heartburn,Dry skin,Fever,Cold-EEZE
Insomnia,Dry skin,Dizziness,Headache,Electrolyte solution (Pedialyte)
Common cold,Cough,Insomnia,Sinus pressure,Cold-EEZE
Nausea,Menstrual cramps,Fever,Heartburn,Ibuprofen
Sinus pressure,Menstrual cramps,Hay fever,Heartburn,Antihistamine (Benadryl)
Acid reflux,Fever,Muscle pain,Dry cough,Ibuprofen
Dry skin,Menstrual cramps,Cough,Insomnia,Paracetamol
Insomnia,Hangover,Fever,Dry skin,Melatonin
Hay fever,Allergic rash,Sinus pressure,Acid reflux,Pseudoephedrine
Dry cough,Toothache,Insomnia,Sinus pressure,Diphenhydramine
Dry cough,Sinus pressure,Headache,Dry skin,Paracetamol
Cough,Dry skin,Sinus pressure,Headache,Aloe vera gel
Insomnia,Allergic rash,Hay fever,Sinus pressure,Valerian root
Insomnia,Common cold,Fever,Allergic rash,Hydrocortisone cream
Runny nose,Hay fever,Fever,Headache,Nasal spray (Flonase)
Hay fever,Headache,Common cold,Dry cough,Nasal spray (Flonase)
Fever,Runny nose,Muscle pain,Common cold,Electrolyte solution (Pedialyte)
Muscle pain,Diarrhea,Dry cough,Nausea,Paracetamol
Allergic rash,Menstrual cramps,Dizziness,Fever,Paracetamol
Dry skin,Cough,Insomnia,Common cold,Dextromethorphan
Sinus pressure,Dry cough,Headache,Dry skin,Saline nasal spray
Dry cough,Dry skin,Insomnia,Hangover,Hydrocortisone cream
Common cold,Dry cough,Allergic rash,Diarrhea,Loperamide
Insomnia,Hangover,Muscle pain,Fever,Cold-EEZE
Headache,Hay fever,Menstrual cramps,Runny nose,Paracetamol
Menstrual cramps,Runny nose,Muscle pain,Toothache,Orajel
Diarrhea,Dizziness,Insomnia,Dry cough,Cold-EEZE
Runny nose,Hangover,Nausea,Insomnia,Cold-EEZE
Nausea,Toothache,Headache,Fever,Orajel
Hangover,Dizziness,Allergic rash,Runny nose,Cold-EEZE
Runny nose,Menstrual cramps,Dry cough,Nausea,Loperamide
Headache,Dizziness,Common cold,Heartburn,Bismuth subsalicylate
Acid reflux,Dry skin,Cough,Sinus pressure,Dextromethorphan
Common cold,Allergic rash,Nausea,Dry cough,Ginger supplements
Allergic rash,Common cold,Diarrhea,Insomnia,Cold-EEZE
Allergic rash,Acid reflux,Hangover,Cough,Cold-EEZE
Toothache,Common cold,Dry cough,Muscle pain,Cold-EEZE
Headache,Allergic rash,Nausea,Insomnia,Ginger supplements
Cough,Hay fever,Runny nose,Toothache,Paracetamol
Insomnia,Acid reflux,Heartburn,Dry skin,Melatonin
Runny nose,Muscle pain,Dry cough,Headache,Guaifenesin
Hay fever,Cough,Fever,Dry cough,Antihistamine (Benadryl)
Diarrhea,Sinus pressure,Common cold,Acid reflux,Cold-EEZE
Muscle pain,Menstrual cramps,Heartburn,Common cold,Bismuth subsalicylate
